source,target,similarity,weight,relation_definition,source_context_id,source_chapter_number,source_representative_context,target_context_id,target_chapter_number,target_representative_context
刘备,徐庶,0.7884695529937744,0.7884695529937744,mutual_semantic_context_similarity,CONTEXT000252,42,玄德教请孔明出来相见。肃见孔明礼毕，问曰：「向慕先生才德，未得拜晤；今幸相遇，愿闻目今安危之事。」孔明曰：「曹操奸计，亮已尽知；但恨力未及，故且避之。」肃曰：「皇叔今将止于此乎？」孔明,CONTEXT002275,36,徐庶览毕，泪如泉涌，持书来见玄德曰：「某本颍川徐庶，字元直；为因逃难，更名单福。前闻刘景升招贤纳士，特往见之。及与论事，方知是无用之人；作书别之，夤夜至司马水镜庄上，诉说其事。水镜深责
刘表,程昱,0.7808860540390015,0.7808860540390015,mutual_semantic_context_similarity,CONTEXT000546,32,于寨中，聚文武计议。程昱曰：「袁谭被袁尚攻击太急，不得已而来降，不可准信。」吕虔、满宠亦曰：「丞相既引兵至此，安可复舍表而助谭？」荀攸曰：「三公之言未善。以愚意度之，天下方有事，而刘表坐保江、汉之间，不敢展足，其无四方之志可知矣；袁氏据四州之地，带甲数十万，若二子和睦，共守成业，天下事未可知也。今其兄弟相攻，势穷而投我，我提兵先除袁尚，后观其变。并灭袁谭，天下定,CONTEXT002956,32,操看书毕，留辛毗于寨中，聚文武计议。程昱曰：「袁谭被袁尚攻击太急，不得已而来降，不可准信。」吕虔、满宠亦曰：「丞相既引兵至此，安可复舍表而助谭？」荀攸曰：「三公之言未善。以愚意度之，天下方有事，而刘表坐保江、汉之间，不敢
张郃,曹洪,0.7808429002761841,0.7808429002761841,mutual_semantic_context_similarity,CONTEXT002137,71,却说张郃，徐晃，领兵追至蜀寨，天色已暮；见寨中偃旗息鼓，又见赵云匹马单枪，立于营外，寨门大开，二将不敢前进。正疑之间，曹操亲到，急催督众军向前。众军听令，大喊一声，杀奔营前；见赵云全然不动,CONTEXT002642,58,时徐晃正在关上点视粮草，闻曹洪下关厮杀，大惊，急引兵随后赶来，大叫曹洪回马；忽然背后喊声大震，马岱引军杀至。曹洪，徐晃急回走时，一棒鼓响，山背后两军截出：左是马超，右是庞德，混杀一阵。曹洪抵挡不住，折军大半，撞
徐晃,魏延,0.7743640542030334,0.7743640542030334,mutual_semantic_context_similarity,CONTEXT002382,76,讫，挥大斧直取关公。公大怒，亦挥刀迎之，战八十余合。公虽武艺绝伦，终是右臂少力。关平恐公有失，火急鸣金。公拨马回寨，忽闻四下里喊声大震。原来是樊城曹仁闻曹操救兵至，引军杀出城来，与徐晃会合，两下夹攻。荆州兵大乱。关公上马，引众将急奔襄江上流头。背后魏兵追至。关公急渡过襄江，望襄阳而奔。忽流星马到，报说：「荆州已被吕蒙所夺，家眷被陷。」关公大惊，不敢奔襄阳，提兵投,CONTEXT004356,72,曹兵方回头时，孔明号旗举起。玄德中军领兵便出，黄忠左边杀来，赵云右边杀来。曹兵大溃而逃。孔明连夜追赶。操传令军回南郑。只见五路火起。原来魏延，张飞，得严颜代守阆中，分兵杀来，先得了南郑。
刘禅,曹丕,0.7694723606109619,0.7694723606109619,mutual_semantic_context_similarity,CONTEXT000471,116,后主尽退侍臣，再拜祝之。师婆大叫曰；「吾乃西川土神也。升下欣乐太平，何为求问他事？数年之后，魏国疆土亦归升下矣。陛下切勿忧虑。」言讫，昏倒于地，半晌方苏。后主大喜，重加赏赐。自此深信师,CONTEXT002417,80,曹丕听毕，便欲受诏。司马懿谏曰：「不可：虽然诏玺已至，殿下宜且上表谦辞，以绝天下之谤。」丕从之，令王朗作表，自称德薄，请别求大贤以嗣天位。帝览表，心甚惊疑，谓群臣曰：「魏王谦逊，如之奈
张郃,郭淮,0.7641400098800659,0.7641400098800659,mutual_semantic_context_similarity,CONTEXT002137,71,却说张郃，徐晃，领兵追至蜀寨，天色已暮；见寨中偃旗息鼓，又见赵云匹马单枪，立于营外，寨门大开，二将不敢前进。正疑之间，曹操亲到，急催督众军向前。众军听令，大喊一声，杀奔营前；见赵云全然不动,CONTEXT003951,103,器无功。司马懿大喜曰：「不就此时杀出，便待时何！」即引兵奋力冲杀。张虎、乐𬘭亦引兵杀来接应。马岱军少，不敢追赶。司马懿父子与张虎、乐𬘭合兵一处，同归渭南大寨。不想寨栅已被蜀兵夺了。郭淮、孙礼正在浮桥上与蜀兵接战。司马懿等引兵杀到，蜀兵退去。懿烧断浮桥，据住北岸。
张郃,徐晃,0.7636411190032959,0.7636411190032959,mutual_semantic_context_similarity,CONTEXT002137,71,却说张郃，徐晃，领兵追至蜀寨，天色已暮；见寨中偃旗息鼓，又见赵云匹马单枪，立于营外，寨门大开，二将不敢前进。正疑之间，曹操亲到，急催督众军向前。众军听令，大喊一声，杀奔营前；见赵云全然不动,CONTEXT002382,76,讫，挥大斧直取关公。公大怒，亦挥刀迎之，战八十余合。公虽武艺绝伦，终是右臂少力。关平恐公有失，火急鸣金。公拨马回寨，忽闻四下里喊声大震。原来是樊城曹仁闻曹操救兵至，引军杀出城来，与徐晃会合，两下夹攻。荆州兵大乱。关公上马，引众将急奔襄江上流头。背后魏兵追至。关公急渡过襄江，望襄阳而奔。忽流星马到，报说：「荆州已被吕蒙所夺，家眷被陷。」关公大惊，不敢奔襄阳，提兵投
李儒,董卓,0.762986421585083,0.762986421585083,mutual_semantic_context_similarity,CONTEXT002738,4,卓从之，即日差人拜绍为渤海太守。九月朔，请帝升嘉德殿，大会文武。卓拔剑在手，对众曰：「天子暗弱，不足以君天下。今有策文一道，宜为宣读。」乃令李儒读策曰：「孝灵皇帝，早弃臣民；皇帝，海内仰望。而帝天资轻佻，威仪不恪，居丧慢惰：否德既彰，有忝大位。皇太后教无母仪，统政荒乱。永乐太后暴崩，众论惑焉。三纲之道，天地之纪，毋乃有阙？,CONTEXT003119,9,布曰：「昔日公说布，使杀丁建阳而投董卓；今卓上欺天子，下虐生灵，罪恶贯盈，人神共愤。公可传天子诏往郿坞，宣卓入朝，伏兵诛之，力扶汉室，共作忠臣。尊意若何？」肃曰：「我亦欲除此贼久矣，恨无同心者耳。今将军若此，是天赐也，
张郃,黄忠,0.76015704870224,0.76015704870224,mutual_semantic_context_similarity,CONTEXT002137,71,却说张郃，徐晃，领兵追至蜀寨，天色已暮；见寨中偃旗息鼓，又见赵云匹马单枪，立于营外，寨门大开，二将不敢前进。正疑之间，曹操亲到，急催督众军向前。众军听令，大喊一声，杀奔营前；见赵云全然不动,CONTEXT004610,72,操正走之间，前面张飞引一枝兵截住，赵云引一枝兵从背后杀来，黄忠又引兵从褒州杀来。操大败。诸将保护曹操，夺路而走。方逃至斜谷界口，前面尘头忽起，一枝兵到。操曰：「此军若是伏兵，吾休矣！」及兵将近，乃操次子曹彰也。
司马徽,庞统,0.759522020816803,0.759522020816803,mutual_semantic_context_similarity,CONTEXT000679,35,玄德闻之大喜，暗忖此人必是伏龙、凤雏，即欲出见，又恐造次。候至天晓，玄德求见水镜，问曰：「昨夜来者是谁？」水镜曰：「此吾友也。」玄德求与相见。水镜曰：「此人欲往投明主，已到他处去了。」玄德请问其姓名。水镜笑曰：「好！好！」玄德再问：「伏龙、凤雏，果系何人？」水,CONTEXT001858,57,吾当于兄长处极力举荐。」统乃将出鲁肃荐书。飞曰：「先生初见吾兄，何不将出？」统曰：「若便将出，似乎专藉荐书来干谒矣。」飞顾谓孙干曰：「非公则失一大贤也。」遂辞统回荆州，见玄德，具说庞统之才。玄德大惊曰：「屈待大贤，吾之过也！」飞将鲁肃荐书呈上。玄德拆视之。书略曰：「庞士元非百里之才，使处治中别驾之任，始当展其骥足。如以貌取之，恐负所学，终为他人所用，实可惜也。」
王允,董承,0.758592426776886,0.758592426776886,mutual_semantic_context_similarity,CONTEXT002836,9,王允时在帝侧，闻知此言，奏曰：「臣本为社稷计。事已至此，陛下不可惜臣，以误国家。臣请下见二贼。」帝徘徊不忍。允自宣平门楼上跳下楼去，大呼曰：「王允在此！」李傕、郭汜拔剑叱曰：「董太师何,CONTEXT003178,66,操闻言，怒目视帝，恨恨而出。左右或奏帝曰：「近闻魏公欲自立为王，不久必将篡位。」帝与伏后大哭。后曰：「妾父伏完常有杀操之心，妾今当修书一封，密与父图之。」帝曰：「昔董承为事不密，反遭大祸；今又恐泄漏，朕与汝皆休矣！」后曰：「旦夕如坐针毡，似此为人，不如早亡！妾看宦官之忠义可托者，莫如穆顺。当令寄此书。」乃即召穆顺入屏后，退去左右近侍。帝后大哭，告
司马徽,徐庶,0.7580803632736206,0.7580803632736206,mutual_semantic_context_similarity,CONTEXT000679,35,玄德闻之大喜，暗忖此人必是伏龙、凤雏，即欲出见，又恐造次。候至天晓，玄德求见水镜，问曰：「昨夜来者是谁？」水镜曰：「此吾友也。」玄德求与相见。水镜曰：「此人欲往投明主，已到他处去了。」玄德请问其姓名。水镜笑曰：「好！好！」玄德再问：「伏龙、凤雏，果系何人？」水,CONTEXT002275,36,徐庶览毕，泪如泉涌，持书来见玄德曰：「某本颍川徐庶，字元直；为因逃难，更名单福。前闻刘景升招贤纳士，特往见之。及与论事，方知是无用之人；作书别之，夤夜至司马水镜庄上，诉说其事。水镜深责
张松,祢衡,0.753923237323761,0.753923237323761,mutual_semantic_context_similarity,CONTEXT001952,60,。」松笑曰：「松闻曹丞相文不明孔孟之道，武不达孙吴之机，专务强霸而居大位，安能有所教诲，以开发明公耶？」修曰：「公居边隅，安知丞相大才乎？吾试令公观之。」呼左右于箧中取书一卷，以示张松。松观其题曰：「孟德新书」。从头至尾，看了一遍，共一十三篇，皆用兵之要法。,CONTEXT002934,60,当下张松欲辞回。修曰：「公且暂居馆舍，容某再禀丞相，令公面君。」松谢而退。修入见操曰：「适来丞相何慢张松乎？」操曰：「言语不逊，吾故慢之。」修曰：「丞相尚容一祢衡，何不纳张松？」操曰：「祢衡文章，播于当今，吾故不忍杀之。松有何能？」修曰：「且无论其口似悬河，辩才无碍。适修以丞相所撰「孟德新书」示之，彼观一遍，即能暗诵。如此博闻强记，世所罕有
王允,董卓,0.7533668875694275,0.7533668875694275,mutual_semantic_context_similarity,CONTEXT002836,9,王允时在帝侧，闻知此言，奏曰：「臣本为社稷计。事已至此，陛下不可惜臣，以误国家。臣请下见二贼。」帝徘徊不忍。允自宣平门楼上跳下楼去，大呼曰：「王允在此！」李傕、郭汜拔剑叱曰：「董太师何,CONTEXT003119,9,布曰：「昔日公说布，使杀丁建阳而投董卓；今卓上欺天子，下虐生灵，罪恶贯盈，人神共愤。公可传天子诏往郿坞，宣卓入朝，伏兵诛之，力扶汉室，共作忠臣。尊意若何？」肃曰：「我亦欲除此贼久矣，恨无同心者耳。今将军若此，是天赐也，
刘禅,华歆,0.7522475719451904,0.7522475719451904,mutual_semantic_context_similarity,CONTEXT000471,116,后主尽退侍臣，再拜祝之。师婆大叫曰；「吾乃西川土神也。升下欣乐太平，何为求问他事？数年之后，魏国疆土亦归升下矣。陛下切勿忧虑。」言讫，昏倒于地，半晌方苏。后主大喜，重加赏赐。自此深信师,CONTEXT000623,80,栗不已。只见阶下披甲持戈数百余人，皆是魏兵。帝泣谓群臣曰：「朕愿将天下禅于魏王，幸留残喘，以终天年。」贾诩曰：「魏王必不负陛下。陛下可急降诏，以安众心。」帝只得令陈群草禅国之诏，令华歆赍捧诏玺，引百官直至魏王宫献纳。曹丕大喜。开读诏曰：
董卓,董承,0.7500078082084656,0.7500078082084656,mutual_semantic_context_similarity,CONTEXT003119,9,布曰：「昔日公说布，使杀丁建阳而投董卓；今卓上欺天子，下虐生灵，罪恶贯盈，人神共愤。公可传天子诏往郿坞，宣卓入朝，伏兵诛之，力扶汉室，共作忠臣。尊意若何？」肃曰：「我亦欲除此贼久矣，恨无同心者耳。今将军若此，是天赐也，,CONTEXT003178,66,操闻言，怒目视帝，恨恨而出。左右或奏帝曰：「近闻魏公欲自立为王，不久必将篡位。」帝与伏后大哭。后曰：「妾父伏完常有杀操之心，妾今当修书一封，密与父图之。」帝曰：「昔董承为事不密，反遭大祸；今又恐泄漏，朕与汝皆休矣！」后曰：「旦夕如坐针毡，似此为人，不如早亡！妾看宦官之忠义可托者，莫如穆顺。当令寄此书。」乃即召穆顺入屏后，退去左右近侍。帝后大哭，告
庞统,张松,0.7465154528617859,0.7465154528617859,mutual_semantic_context_similarity,CONTEXT001858,57,吾当于兄长处极力举荐。」统乃将出鲁肃荐书。飞曰：「先生初见吾兄，何不将出？」统曰：「若便将出，似乎专藉荐书来干谒矣。」飞顾谓孙干曰：「非公则失一大贤也。」遂辞统回荆州，见玄德，具说庞统之才。玄德大惊曰：「屈待大贤，吾之过也！」飞将鲁肃荐书呈上。玄德拆视之。书略曰：「庞士元非百里之才，使处治中别驾之任，始当展其骥足。如以貌取之，恐负所学，终为他人所用，实可惜也。」,CONTEXT001952,60,。」松笑曰：「松闻曹丞相文不明孔孟之道，武不达孙吴之机，专务强霸而居大位，安能有所教诲，以开发明公耶？」修曰：「公居边隅，安知丞相大才乎？吾试令公观之。」呼左右于箧中取书一卷，以示张松。松观其题曰：「孟德新书」。从头至尾，看了一遍，共一十三篇，皆用兵之要法。
孙乾,徐庶,0.740534782409668,0.740534782409668,mutual_semantic_context_similarity,CONTEXT001516,54,当日二人并辔而回。南徐之民，无不称贺。玄德自回馆驿，与孙干商议。干曰：「主公只是哀求乔国老，早早毕姻，免生别事。」次日，玄德复至乔国老宅前下马。国老接入，礼毕，茶罢，玄德告曰：「江左之人，多有要害刘备者，恐不能久居。」国老曰：「玄德宽心：,CONTEXT002275,36,徐庶览毕，泪如泉涌，持书来见玄德曰：「某本颍川徐庶，字元直；为因逃难，更名单福。前闻刘景升招贤纳士，特往见之。及与论事，方知是无用之人；作书别之，夤夜至司马水镜庄上，诉说其事。水镜深责
荀攸,袁绍,0.740201473236084,0.740201473236084,mutual_semantic_context_similarity,CONTEXT003050,32,操看书毕，留辛毗于寨中，聚文武计议。程昱曰：「袁谭被袁尚攻击太急，不得已而来降，不可准信。」吕虔、满宠亦曰：「丞相既引兵至此，安可复舍表而助谭？」荀攸曰：「三公之言未善。以愚意度之，天下方有事，而刘表坐保江、汉之间，不敢展足，其无四方之志可知矣；袁氏据四州之地，带甲数十万，若二子和睦，共守成业，天下事未可知也。今其兄弟相攻，势穷,CONTEXT003268,24,昱曰：「今董承等虽诛，尚有马腾，刘备，亦在此数，不可不除。」昱曰：「马腾屯军西凉，未可轻取；但当以书慰劳，勿使生疑，诱入京师图之，可也。刘备现在徐州，分布掎角之势，亦不可轻敌。况今袁绍屯兵官渡，常有图许都之心。若我一旦东征，刘备势必求救于绍。绍趁虚来袭，何以当之？」操曰：「非也，备乃人杰也。今若不击，待其羽翼既成，急难图矣。袁绍虽强，事多怀疑不决，何足忧乎？」
张辽,徐晃,0.7385072112083435,0.7385072112083435,mutual_semantic_context_similarity,CONTEXT002042,50,齐发喊。操大惊，弃甲上马。众军多有不及收马者。早见四下火烟布合山口，一军摆开。为首乃燕人张翼德，横矛立马，大叫：「操贼走那里去！」诸军众将见了张飞，尽皆胆寒。许褚骑无鞍马来战张飞。张辽，徐晃二将，纵马也来夹攻。两边军马混战做一团。操先拨马走脱，诸将各自脱身。张飞从后赶来。操迤逦奔逃，追兵渐远，回顾众将多已带伤。,CONTEXT002382,76,讫，挥大斧直取关公。公大怒，亦挥刀迎之，战八十余合。公虽武艺绝伦，终是右臂少力。关平恐公有失，火急鸣金。公拨马回寨，忽闻四下里喊声大震。原来是樊城曹仁闻曹操救兵至，引军杀出城来，与徐晃会合，两下夹攻。荆州兵大乱。关公上马，引众将急奔襄江上流头。背后魏兵追至。关公急渡过襄江，望襄阳而奔。忽流星马到，报说：「荆州已被吕蒙所夺，家眷被陷。」关公大惊，不敢奔襄阳，提兵投
刘备,庞统,0.7383800745010376,0.7383800745010376,mutual_semantic_context_similarity,CONTEXT000252,42,玄德教请孔明出来相见。肃见孔明礼毕，问曰：「向慕先生才德，未得拜晤；今幸相遇，愿闻目今安危之事。」孔明曰：「曹操奸计，亮已尽知；但恨力未及，故且避之。」肃曰：「皇叔今将止于此乎？」孔明,CONTEXT001858,57,吾当于兄长处极力举荐。」统乃将出鲁肃荐书。飞曰：「先生初见吾兄，何不将出？」统曰：「若便将出，似乎专藉荐书来干谒矣。」飞顾谓孙干曰：「非公则失一大贤也。」遂辞统回荆州，见玄德，具说庞统之才。玄德大惊曰：「屈待大贤，吾之过也！」飞将鲁肃荐书呈上。玄德拆视之。书略曰：「庞士元非百里之才，使处治中别驾之任，始当展其骥足。如以貌取之，恐负所学，终为他人所用，实可惜也。」
吴国太,孙乾,0.7344312071800232,0.7344312071800232,mutual_semantic_context_similarity,CONTEXT001042,54,少顷，孙权入后堂见母亲。国太搥胸大哭。权曰：「母亲何故烦恼？」国太曰：「你直如此将我看承得如无物！我姐姐临危之时，分付你甚么话来？」孙权失惊曰：「母亲有话明说，何苦如此？」国太曰：「男大须婚，女大须嫁，古今常,CONTEXT001516,54,当日二人并辔而回。南徐之民，无不称贺。玄德自回馆驿，与孙干商议。干曰：「主公只是哀求乔国老，早早毕姻，免生别事。」次日，玄德复至乔国老宅前下马。国老接入，礼毕，茶罢，玄德告曰：「江左之人，多有要害刘备者，恐不能久居。」国老曰：「玄德宽心：
刘备,司马徽,0.7296562790870667,0.7296562790870667,mutual_semantic_context_similarity,CONTEXT000252,42,玄德教请孔明出来相见。肃见孔明礼毕，问曰：「向慕先生才德，未得拜晤；今幸相遇，愿闻目今安危之事。」孔明曰：「曹操奸计，亮已尽知；但恨力未及，故且避之。」肃曰：「皇叔今将止于此乎？」孔明,CONTEXT000679,35,玄德闻之大喜，暗忖此人必是伏龙、凤雏，即欲出见，又恐造次。候至天晓，玄德求见水镜，问曰：「昨夜来者是谁？」水镜曰：「此吾友也。」玄德求与相见。水镜曰：「此人欲往投明主，已到他处去了。」玄德请问其姓名。水镜笑曰：「好！好！」玄德再问：「伏龙、凤雏，果系何人？」水
荀彧,郭嘉,0.7262696623802185,0.7262696623802185,mutual_semantic_context_similarity,CONTEXT002987,10,昱谓荀彧曰：「某孤陋寡闻，不足当公之荐。公之乡人姓郭，名嘉，字奉孝，乃当今贤士，何不罗而致之？」彧猛省曰：「吾几忘却！」遂启操征聘郭嘉到兖州，共论天下之事。郭嘉荐光武嫡派子孙，淮南成德人：,CONTEXT003850,23,帝览表，以付曹操。操遂使人召衡至。礼毕，操不命坐。祢衡仰天叹曰：「天地虽阔，何无一人也！」操曰：「吾手下有数十人，皆当世英雄，何谓无人？」衡曰：「愿闻。」操曰：「荀彧，荀攸，郭嘉，程昱，机深智远，虽萧何，陈平不及也。张辽[陈怡妏3]，许褚，乐进，李典，勇不可当，虽岑彭，马武不及也。吕虔，满宠，为从事；于禁，徐晃，为先锋。夏侯惇，天下奇才；曹子孝，世间福将。
魏延,黄忠,0.7226314544677734,0.7226314544677734,mutual_semantic_context_similarity,CONTEXT004356,72,曹兵方回头时，孔明号旗举起。玄德中军领兵便出，黄忠左边杀来，赵云右边杀来。曹兵大溃而逃。孔明连夜追赶。操传令军回南郑。只见五路火起。原来魏延，张飞，得严颜代守阆中，分兵杀来，先得了南郑。,CONTEXT004610,72,操正走之间，前面张飞引一枝兵截住，赵云引一枝兵从背后杀来，黄忠又引兵从褒州杀来。操大败。诸将保护曹操，夺路而走。方逃至斜谷界口，前面尘头忽起，一枝兵到。操曰：「此军若是伏兵，吾休矣！」及兵将近，乃操次子曹彰也。
